Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12769908991,405148313,6/24/2021 10:24,6/24/2021 10:30,,,,,,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,About once a month,At least once a day,Basic stuff,Advanced,Intermediate,Not at all,Not at all,Basic stuff,Not at all,Intermediate,Intermediate,Very much so,,,Very much so,,,Not at all,,,Very much so,,,Somewhat,,,Very much so,,,Unsure,,,Very much so,,,Very much so,,,,,Excel,,SAS,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769905395,405148313,6/24/2021 10:25,6/24/2021 10:29,,,,,,Not at all,At least once a day,Not at all,Less than once a month,Not at all,About once a week,Not at all,About once a week,About once a month,Basic stuff,Expert,Expert,Intermediate,Not at all,Advanced,Not at all,Intermediate,Advanced,Very much so,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Not at all,Not at all,Not at all,Very much so,Somewhat,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,,Excel,,,Python,A data visualization tool like Tableau,,,SQL,,,Lack of management support,,,,,,,Lack of management support,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Consulting Firm,,26-50,Less than 5
12769904813,405148313,6/24/2021 10:25,6/24/2021 10:29,,,,,,About once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,At least once a day,Intermediate,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Advanced,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,,R,Excel,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,Chain-ladder,,,,,None yet,31-40 years old,United States,,Insurance company,,26-50,Less than 5
12769904108,405148313,6/24/2021 10:25,6/24/2021 10:29,,,,,,About once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,At least once a day,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Very much so,Somewhat,Unsure,None that i can think of.,R,,,,,,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,,,,ACAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15
12769897465,405148313,6/24/2021 10:22,6/24/2021 10:27,,,,,,About once a week,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,Less than once a month,Advanced,Advanced,Basic stuff,Intermediate,Intermediate,Not at all,Not at all,Basic stuff,Intermediate,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,,R,,,,Python,,,,,,,Lack of management support,,,Not enough time,,,,Lack of management support,,,,,,"Linear regression, including GLMs",,,,,,,,,,,,,None yet,Up to 30 years old,Canada,,Insurance company,,51-200,Less than 5
12769890178,405148313,6/24/2021 10:06,6/24/2021 10:24,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,About once a month,Basic stuff,Expert,Advanced,Basic stuff,Not at all,Not at all,Not at all,Advanced,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,,,,Very much so,Very much so,,,,,Very much so,Very much so,,Somewhat,Somewhat,,"PowerPoint! Using technology for communication is SO important to our jobs, it should be its own category here. For example, data visualization tools may not be ideal for performing an analysis, but they're incredible for communicating results. That's just as important if not more so! I'd hate to do a reserving analysis without Excel, but I'd hate even more to have to discuss results with Excel as my only tool (it's possible, it would just be way less effective.)",,,,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,No perceived benefit,I'm getting to a point in my career where I'm doing more reviewing than doing - so the significant upskilling time for something that I'd only use very occasionally just isn't worth it.,,,,,Not enough time,No perceived benefit,"From a technical standpoint, there's not much that my clients want that I can't do in Excel or in databases using SQL.",,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,"Confidence levels, discounting, frequency x severity, monitoring e.g. actual vs expected, Berquist-Sherman, rate x exposure",Please please please add a focus on communicating actuarial concepts to non-actuarial stakeholders! In general but also from the viewpoint of technology. It seems ludicrous that our education brings someone to the point of knowing the answer but then stops short of guiding them in how to communicate that to someone else so that it's actually useful. Technology can be so helpful in communicating and should 100% be part of that conversation!,ACAS,Up to 30 years old,United States,,Consulting Firm,,51-200,Between 5 and 10
12769890171,405148313,6/24/2021 10:21,6/24/2021 10:24,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Unsure,Very much so,Somewhat,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,,,,,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",,,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,5-Jan,Less than 5
12769887961,405148313,6/24/2021 9:56,6/24/2021 10:23,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Not at all,Not at all,Not at all,Intermediate,Not at all,Not at all,Expert,Very much so,Somewhat,Very much so,Very much so,Very much so,Somewhat,Not at all,Not at all,Not at all,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,R,,,,,,,,,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,31-40 years old,United States,,Insurance company,,25-Nov,Less than 5
12769883853,405148313,6/24/2021 10:17,6/24/2021 10:22,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,About once a week,About once a week,Basic stuff,Expert,Advanced,Basic stuff,Not at all,Basic stuff,Not at all,Intermediate,Intermediate,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Somewhat,Unsure,Somewhat,Very much so,Very much so,,R,Excel,,,,,,,SQL,,,,,,Not enough time,,,,,,,,,Time and Impact,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,ACAS,31-40 years old,United States,,Insurance company,,10-Jun,Between 5 and 10
12769867125,405148313,6/24/2021 10:15,6/24/2021 10:17,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,About once a week,About once a week,Not at all,Advanced,Advanced,Not at all,Basic stuff,Basic stuff,Not at all,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,,,,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Less than 5
12769862174,405148313,6/24/2021 9:58,6/24/2021 10:15,,,,,,Not at all,At least once a day,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,At least once a day,Intermediate,Expert,Advanced,Not at all,Intermediate,Not at all,Not at all,Not at all,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,Excel,,,,,,,SQL,,,,,,,No perceived benefit,,,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,,,,,,,,,,None yet,Up to 30 years old,Canada,,Insurance company,,5-Jan,Less than 5
12769862030,405148313,6/24/2021 10:07,6/24/2021 10:15,,,,,,Less than once a month,At least once a day,Not at all,Not at all,At least once a day,Not at all,Not at all,About once a week,At least once a day,Basic stuff,Expert,Intermediate,Not at all,Advanced,Not at all,Not at all,Advanced,Advanced,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,"These are very broad, i might add some questions regarding specific libraries that could be supported by the actuarial community. From a Python perspective i think these include things like Statsmodels, PyMc3, chainladder, seaborm, plotly, matplotlib, etc. Broader methodologies might also be useful. Anything I can do in Python I can do in R or Java. The applicability of ORM approaches to actuarial data sets for pricing for example is something likely overlooked, but not langiage dependant.",,,,,Python,,,A business intelligence dashboarding tool like Power BI,,Theano,,,Lack of IT support,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,5-Jan,Less than 5
12769860298,405148313,6/24/2021 10:10,6/24/2021 10:14,,,,,,Not at all,At least once a day,Not at all,Not at all,About once a week,Not at all,Not at all,At least once a day,At least once a day,Basic stuff,Expert,Intermediate,Intermediate,Advanced,Not at all,Not at all,Advanced,Advanced,Very much so,Somewhat,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,,,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,No perceived benefit,,,,Lack of IT support,Financial cost,,,,,,,,,,,AI/deep learning,,,,,,None yet,Up to 30 years old,Canada,,Insurance company,,25-Nov,Less than 5
12769856958,405148313,6/24/2021 10:08,6/24/2021 10:13,,,,,,Not at all,At least once a day,About once a week,Not at all,Not at all,Not at all,Not at all,About once a week,About once a week,Basic stuff,Advanced,Advanced,Not at all,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,,R,Excel,Google Sheets,,,,,,SQL,,,,,,,No perceived benefit,,,,,,,No perceived benefit,,,,,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,5-Jan,Less than 5
12769853895,405148313,6/24/2021 9:41,6/24/2021 10:12,,,,,,Not at all,At least once a day,Not at all,About once a week,About once a week,About once a week,Not at all,At least once a day,About once a month,Not at all,Expert,Basic stuff,Intermediate,Intermediate,Intermediate,Not at all,Advanced,Intermediate,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Cognos ReportNet,,Excel,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,Lack of management support,,,Not enough time,,Knowledgeable mentors and relevant projects,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,,"Gaining buy in, resistance to change by more senior employees","Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
12769850854,405148313,6/24/2021 10:08,6/24/2021 10:11,,,,,,About once a week,At least once a day,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Basic stuff,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,,R,Excel,,,Python,,,,,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,31-40 years old,United States,,Consulting Firm,,51-200,Between 10 and 15
12769844500,405148313,6/24/2021 10:00,6/24/2021 10:09,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Less than once a month,About once a month,Not at all,About once a month,About once a week,Intermediate,Expert,Expert,Basic stuff,Basic stuff,Advanced,Not at all,Advanced,Advanced,Very much so,Somewhat,Unsure,Very much so,Very much so,Somewhat,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Maybe add a category for proprietary tools like Emblem/Radar,R,,,,Python,,,,,,Insufficient/inadequate staff,,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,As a qualifier for the inadequate staff answer I choose --- the reason really comes down to time. Lower staff/working at a smaller company means a lot of work on a few people which translates to doing the same/similar stuff over and over again with not much time to implement new methods and tech. ,None yet,31-40 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12769840220,405148313,6/24/2021 10:04,6/24/2021 10:08,,,,,,Not at all,At least once a day,Less than once a month,Less than once a month,About once a month,About once a month,Not at all,Not at all,Not at all,Intermediate,Expert,Intermediate,Basic stuff,Intermediate,Basic stuff,Not at all,Not at all,Intermediate,,,,Very much so,Very much so,Very much so,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,Lack of management support,,,,,,,Credibility,Premium adjustment,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
12769836488,405148313,6/24/2021 10:02,6/24/2021 10:07,,,,,,At least once a day,About once a week,About once a month,Not at all,About once a month,Less than once a month,Not at all,Not at all,About once a month,Advanced,Advanced,Advanced,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Very much so,,,Very much so,,,Very much so,,,Unsure,,,Very much so,,,Unsure,,,Unsure,,,Unsure,,,Very much so,,,,,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,,,,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,ACAS,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769835867,405148313,6/24/2021 9:21,6/24/2021 10:06,,,,,,About once a month,At least once a day,At least once a day,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Intermediate,Advanced,Advanced,Advanced,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,,R,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",,,,,,,,,,,,,ACAS,31-40 years old,Canada,,Insurance company,,25-Nov,Less than 5
12769835397,405148313,6/24/2021 10:04,6/24/2021 10:06,,,,,,Less than once a month,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,About once a week,Less than once a month,Intermediate,Expert,Advanced,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Basic stuff,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Very much so,Somewhat,Very much so,Very much so,Somewhat,"Vendor software / tools (ResQ, etc)",R,,,,,,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,,,,,,FCAS,31-40 years old,United States,,Reinsurance company,,5-Jan,Between 15 and 20
12769833609,405148313,6/24/2021 9:18,6/24/2021 10:06,,,,,,At least once a day,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,Not at all,At least once a day,Expert,Expert,Not at all,Advanced,Advanced,Not at all,Not at all,Not at all,Expert,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,,,,,,,Very much so,Very much so,Very much so,,R,,,,Python,,,,SQL,,,,,,Not enough time,,,,Lack of management support,,,Not enough time,,,,Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769831876,405148313,6/24/2021 10:01,6/24/2021 10:06,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,At least once a day,Basic stuff,Expert,Advanced,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Somewhat,,R,,,,Python,,,,,,,,Lack of IT support,,,,,,,Lack of IT support,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,,,,,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,5-Jan,Less than 5
12769829462,405148313,6/24/2021 10:01,6/24/2021 10:05,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,Not at all,Less than once a month,Not at all,About once a month,Less than once a month,Intermediate,Expert,Advanced,Intermediate,Not at all,Intermediate,Not at all,Basic stuff,Basic stuff,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Alteryx,,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Consulting Firm,,26-50,Less than 5
12769829062,405148313,6/24/2021 10:00,6/24/2021 10:05,,,,,,Not at all,At least once a day,Not at all,Not at all,About once a week,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Not at all,Not at all,Intermediate,Not at all,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,Excel,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,None yet,Up to 30 years old,United States,,Broker or (re)insurance intermediary,,51-200,Less than 5
12769819147,405148313,6/24/2021 9:59,6/24/2021 10:02,,,,,,At least once a day,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,Less than once a month,About once a week,Basic stuff,Advanced,Advanced,Intermediate,Not at all,Not at all,Basic stuff,Not at all,Advanced,Very much so,,,Very much so,,,Somewhat,,,Somewhat,,,Unsure,,,Unsure,,,Unsure,,,Somewhat,,,Very much so,,,,R,Excel,,SAS,,,,,SQL,,,,,Financial cost,Not enough time,,,Insufficient/inadequate staff,Lack of management support,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,51-200,Less than 5
12769817485,405148313,6/24/2021 9:58,6/24/2021 10:02,,,,,,At least once a day,About once a week,Not at all,Not at all,About once a month,Not at all,Not at all,Not at all,At least once a day,Expert,Expert,Basic stuff,Advanced,Expert,Basic stuff,Basic stuff,Basic stuff,Expert,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Unsure,Not at all,Unsure,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,Python,,,,SQL,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,ACAS,31-40 years old,United States,,Insurance company,,10-Jun,Between 10 and 15
12769815443,405148313,6/24/2021 9:56,6/24/2021 10:03,,,,,,Not at all,At least once a day,Not at all,Less than once a month,Less than once a month,About once a week,Not at all,Not at all,About once a week,Basic stuff,Advanced,Basic stuff,Basic stuff,Basic stuff,Intermediate,Not at all,Not at all,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,I put a comment. Does the comment need to be greater than a certain length. ,,Excel,,,Python,A data visualization tool like Tableau,,,SQL,,,,,,Not enough time,,,,,Lack of IT support,,,,,,Credibility,Premium adjustment,,,,,,Chain-ladder,,,,,None yet,31-40 years old,United States,,Insurance company,,26-50,Less than 5
12769815199,405148313,6/24/2021 9:56,6/24/2021 10:01,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,Not at all,Expert,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Somewhat,Unsure,Very much so,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,,,,,,,,,,,,,,,,,No perceived benefit,,,,,,,No perceived benefit,,,Credibility,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,41-50 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
